Model,Brand,Side Panel,Carbinet Type,Color,Motherboard Support,Max GPU Length,CPU Cooler Height,Supported PSU Size,Price,Amazon URL
4000D Airflow,Cosair,Tinted Tempered Glass,ATX Mid Tower,White,"ATX, Micro-ATX, Mini-ITX",360 mm,165 mm,ATX,89.99,https://www.amazon.com/dp/B08C74694Z?tag=pcbuilder00-20&th=1
CARBIDE SPEC-05,Cosair,Acrylic,ATX Mid Tower,Black,"ATX, Micro-ATX, Mini-ITX",370 mm,165 mm,ATX,116.12,https://www.amazon.com/dp/B07BH23K53?tag=pcbuilder00-20&th=1
Carbide SPEC-Omega,Cosair,Tempered Glass,ATX Mid Tower,Black,"ATX, Micro-ATX, Mini-ITX",370 mm,165 mm,ATX,207.34,https://www.amazon.com/dp/B07B2YJXLM?tag=pcbuilder00-20&th=1
CC-9011205-WW,Cosair,Tempered Glass,ATX Mid Tower,White,"ATX, Micro-ATX, Mini-ITX",360 mm,157 mm,ATX,119.99,https://www.amazon.com/dp/B08C76W2WM?tag=pcbuilder00-20
H510 Elite,NZXT,"Tempered Glass, Steel",ATX Mid Tower,White,"ATX, Micro-ATX, Mini-ITX",368.6 mm,157 mm,ATX,99.99,https://www.amazon.com/dp/B07T7L875Z?tag=pcbuilder00-20
H510B,NZXT,"Tempered Glass, Steel",ATX Mid Tower,Black/Red,"ATX, Micro-ATX, Mini-ITX",381 mm,165 mm,ATX,59.99,https://www.amazon.com/dp/B07TC73F6Y?tag=pcbuilder00-20&th=1
H510B-B1,NZXT,"Tempered Glass, Steel",ATX Full Tower,Black,"ATX, Micro-ATX, Mini-ITX",381 mm,165 mm,ATX,83.13,https://amazon.com/dp/B07TD9C5HS?tag=pcbuilder00-20/
H510B-W1,NZXT,"Tempered Glass, Steel",ATX Mid Tower,White,"ATX, Micro-ATK, Mini-ITX",381 mm,165 mm,ATX,89.99,https://amazon.com/dp/B07TC76671?tag=pcbuilder00-20/
H510i,NZXT,"Tempered Glass, Steel",ATX Mid Tower,White,"ATX, Micro-ATX, Mini-ITX",381 mm,165 mm,ATX,120.58,https://www.amazon.com/dp/B07TD9S3HZ?tag=pcbuilder00-20&th=1
MasterBox Q500L,Cooler Master,"Steel, Plastic",ATX Mid Tower,Black,"ATX, Micro-ATX, Mini-ITX",360 mm,160 mm,ATX,56.11,https://www.amazon.com/dp/B07Q8VJ17J?tag=pcbuilder00-20&th=1
MasterBox TD500,Cooler Master,"Tempered Glass, Steel",ATX Mid Tower,White ARGB,"ATX, E-ATX, Micro-ATX, Mini-ITX, SSI-CEB",410 mm,165 mm,ATX,109.31,https://www.amazon.com/dp/B08412JPCH?tag=pcbuilder00-20&th=1
Q300L,Cooler Master,"Steel, Plastic",MicroATX Mid Tower,Black,"Micro-ATX, Mini-ITX",360 mm,157 mm,ATX,66.49,https://www.amazon.com/dp/B0785GRMPG?tag=pcbuilder00-20&th=1
