Model,Brand,Fan RPM,Noise Level,Color,Price,Amazon URL,
Hyper 212 Black Edition,Cooler Master,800 to 2000 RPM,6.5 to 26 dBA,Black,34.99,https://www.amazon.com/dp/B09KX9V4CT?tag=pcbuilder00-20&th=1,
Hyper 212 EVO,Cooler Master,600 to 2000 rpm,9 to 36 dBA,RGB,42.99,https://amazon.com/dp/B005O65JXI?tag=pcbuilder00-20/,
Hyper 212 RGB,Cooler Master,650 to 2000 rpm,8 to 30 dBA,RGB,95.99,https://amazon.com/dp/B07H22TC1N?tag=pcbuilder00-20/,
Hyper H412R,Cooler Master,600 to 2000 RPM,29.4 dBA,Black,32.99,https://www.amazon.com/dp/B076MQBZ2L?tag=pcbuilder00-20&th=1,
Hyper T2,Cooler Master,2800 RPM,17 to 35 dBA,Black,39.99,https://www.amazon.com/dp/B00K7809O2?tag=pcbuilder00-20&th=1,
Kraken M22,NZXT,200 to 2300 RPM,21 to 36 dBA,Black,105.67,https://www.amazon.com/dp/B082DYR131?tag=pcbuilder00-20&th=1,
Kraken X53,NZXT,500 to 2000 RPM,21 to 36 dBA,RGB,123.99,https://www.amazon.com/dp/B082DYR131?tag=pcbuilder00-20&th=1,
Kraken X53 RGB,NZXT,500 to 1500 RPM,22 to 33 dBA,RGB,129,https://www.amazon.com/dp/B08MB5WDB2?tag=pcbuilder00-20&th=1,
Kraken X53 RGB 240mm,NZXT,500 to 1500 RPM,22 to 33 dBA,RGB,149.99,https://www.amazon.com/dp/B09CWCT5T5?tag=pcbuilder00-20&th=1,
Kraken X63 RGB,NZXT,500 to 1500 RPM,22 to 33 dBA,RGB,159.99,https://www.amazon.com/dp/B09CWGWL93?tag=pcbuilder00-20&th=1,
Kraken Z73,NZXT,500 to 1800 RPM,21 to 36 dBA,Black,249.99,https://www.amazon.com/dp/B082DYPF57?tag=pcbuilder00-20&th=1,
Kraken Z73 RGB,NZXT,500 to 1500 RPM,22 to 33 dBA,RGB,290.99,https://www.amazon.com/dp/B09GKQJK5P?tag=pcbuilder00-20&th=1,
