Model,Brand,Memory,Memory Interface,Length,Interface,Chipset,Max Power Consumption,Price,Amazon URL,,
Gaming GeForce RTX 4090 Trinity OC,ZOTAC,24GB,GDDR6X,356 mm,PCIe 4.0 x16,GeForce RTX 4090,450 W,2159,https://www.amazon.com/dp/B0BGJRHX1X?tag=pcbuilder00-20,,
GeForce RTX 3080 Ti Gaming OC 12G,Gigabyte,12 GB,GDDR6X,320 mm,PCIe x16,GeForce RTX 3080 Ti,350 W,1529.86,https://amazon.com/dp/B095X51RHY?tag=pcbuilder00-20,,
GeForce RTX 3090 Ti AMP Extreme Holo,ZOTAC,24GB,GDDR6X,356 mm,PCIe 4.0 x16,GeForce RTX 3090Ti,450 W,1599.99,https://www.amazon.com/dp/B09WH4XGDM?tag=pcbuilder00-20,,
GeForce RTX 3090 Ti FTW3 Ultra Gaming,EVGA,24GB,GDDR6X,300 mm,PCIe 4.0 x16,GeForce RTX 3090Ti,450 W,2199.99,https://www.amazon.com/dp/B09W4SN2M7?tag=pcbuilder00-20,,
GeForce RTX 4090 Founders Edition,NVIDIA,24GB,GDDR6X,304 mm,PCIe 4.0 x16,GeForce RTX 4090,450 W,2929.99,https://www.amazon.com/dp/B0BJFRT43X?tag=pcbuilder00-20,,
GeForce RTX 4090 SUPRIM LIQUID X 24G,MSI,24GB,GDDR6X,280 mm,PCIe 4.0 x16,GeForce RTX 4090,450 W,2632,https://www.amazon.com/dp/B0BG94BM2G?tag=pcbuilder00-20,,
GV-N4090WF3-24GD,Gigabyte,24GB,GDDR6X,331 mm,PCIe 4.0 x16,GeForce RTX 4090,450 W,2599.99,https://www.amazon.com/dp/B07TC73F6Y?tag=pcbuilder00-20&th=1,,
RTX 3080 Ti FTW3 Ultra,EVGA,12GB,GDDR6X,300 mm,PCIe 4.0 x16,GeForce RTX 3080Ti,350 W,1340.08,https://www.amazon.com/dp/B09622N253?tag=pcbuilder00-20,,
RTX 3080 Ti Ventus 3X 12G OC,MSI,12GB,GDDR6X,305 mm,PCIe 4.0 x16,GeForce RTX 3080Ti,350 W,1199.99,https://www.amazon.com/dp/B095W3S3LF?tag=pcbuilder00-20,,
RTX 3080 Ti XC3 ULTRA,EVGA,12GB,GDDR6X,300 mm,PCIe 4.0 x16,GeForce RTX 3080Ti,350 W,1399,https://www.amazon.com/dp/B0979GYMHP?tag=pcbuilder00-20,,
RTX 4090 Gaming Trio 24G,MSI,24GB,GDDR6X,337 mm,PCIe 4.0 x16,GeForce RTX 4090,450 W,2999.99,https://www.amazon.com/dp/B0BG959RCF?tag=pcbuilder00-20,,
TUF Gaming GeForce RTX 3080 Ti OC Edition,ASUS,12 GB,GDDR6X,300 mm,PCIe x16,GeForce RTX 3080 Ti,350 W,1159,https://amazon.com/dp/B096L3GLYS?tag=pcbuilder00-20,,
