Model,Brand,Chipset,Form Factor,Socket Type,Memory Slots,Memory Type,Memory Speed,Storage Expansion,Multi-GPU Support,Price,Amazon URL,,
ROG CROSSHAIR VIII HERO (WI-FI),ASUS,AMD X570,ATX,AM4,4,DDR4,2133 MHz,"SATA III, PCIe 4.0 x4",yes,380.75,https://www.amazon.com/dp/B07SZXBTNW?tag=pcbuilder00-20,,
ROG ZENITH II EXTREME ALPHA,ASUS,AMD TRX40,Extended ATX,sTRX4,8,DDR4,2400 MHz,"SATA III, PCIe 4.0 x4",yes,962.99,https://www.amazon.com/dp/B083ZC9L91?tag=pcbuilder00-20,,
TRX40 Aorus Pro WiFi,Gigabyte,AMD TRX40,ATX,sTRX4,8,DDR4,4400 MHz,"SATA III, PCIe 4.0 x4",Yes,820,https://www.amazon.com/dp/B081JCCGQR?tag=pcbuilder00-20/,,
TRX40 AORUS XTREME,Gigabyte,AMD TRX40,Extended ATX,sTRX4,8,DDR4,4400 MHz,"SATA, SATA III, PCIe 4.0 x4, PCIe 4.0 x2",yes,1599.99,https://www.amazon.com/dp/B081JDP378?tag=pcbuilder00-20,,
TRX40 CREATOR,ASRock,AMD X570,ATX,sTRX4,8,DDR4,2666 MHz,"SATA III, PCIe 4.0 x4",Yes,1549,https://amazon.com/dp/B081JX35ZK?tag=pcbuilder00-20/,,
TRX40 DESIGNARE,Gigabyte,AMD TRX40,Extended ATX,sTRX4,8,DDR4,4400 MHz,"SATA, SATA III, PCIe 4.0 x4, PCIe 4.0 x2",yes,1449.99,https://www.amazon.com/dp/B081YW31GR?tag=pcbuilder00-20,,
TRX40P,MSI,AMD TRX40,ATX,sTRX4,8,DDR4,2666 MHz,"SATA, SATA III, PCIe 4.0 x4, PCIe 4.0 x2",yes,669.6,https://www.amazon.com/dp/B081FX6KC1?tag=pcbuilder00-20,,
TUF GAMING X570-PLUS (WI-FI),ASUS,AMD X570,ATX,AM4,4,DDR4,4400 MHz,"SATA III, PCIe 4.0 x4",no,179.99,https://www.amazon.com/dp/B07SXF8GY3?tag=pcbuilder00-20&th=1,,
X570 AORUS ELITE,Gigabyte,AMD X570,ATX,AM4,4,DDR4,2133 MHz,"SATA III, PCIe 4.0 x4",yes,264.45,https://www.amazon.com/dp/B07SVRZGMX?tag=pcbuilder00-20&th=1,,
X570 I AORUS PRO WIFI,Gigabyte,AMD X570,Mini ITX,AM4,2,DDR4,2666 MHz,"SATA III, PCIe 4.0 x4",no,268.9,https://www.amazon.com/dp/B07T9PC9ZZ?tag=pcbuilder00-20&th=1,,
X570 PRO WIFI,MSI,AMD X570,ATX,AM4,4,DDR4,2666 MHz,"SATA III, PCIe 4.0 x4, PCIe 3.0 x4",yes,338.99,https://www.amazon.com/dp/B07T4M3RTR?tag=pcbuilder00-20,,
X570S AORUS ELITE AX,Gigabyte,AMD X570,ATX,AM4,4,DDR4,5400 MHz,"SATA 6 Gb/s, 2260/2280/22110 M-key",no,189.99,https://www.amazon.com/dp/B083HZ3Y7L?tag=pcbuilder00-20&th=1,,
